,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription,feed_url,SD_url_2014,SD_url_2015,SD_url_2016,feed_retrieved_date
168,1091883,CIRCOR INTERNATIONAL INC,1157,NYSE,CIR,3490,Miscellaneous Fabricated Metal Products,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1091883&start=0&type=SD,,,,2016-04-30
169,20740,CLARCOR INC.,8243,NYSE,CLC,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=20740&start=0&type=SD,,,,2016-04-30
170,796505,"CLEARFIELD, INC.",11934,Nasdaq Global Market,CLFD,3661,Telephone and Telegraph Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=796505&start=0&type=SD,,,,2016-04-30
171,1368265,CLEAN ENERGY FUELS CORP.,720002,Nasdaq Global Market,CLNE,4932,Gas and Other Services Combined,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1368265&start=0&type=SD,,,,2016-04-30
172,21076,CLOROX CO /DE/,1435,NYSE,CLX,2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=21076&start=0&type=SD,,,,2016-04-30
173,1567094,CNH INDUSTRIAL N.V.,906559,NYSE,CNHI,3531,Construction Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1567094&start=0&type=SD,,,,2016-04-30
174,1116132,COACH INC,76950,NYSE,COH,3100,Leather & Leather Products,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1116132&start=0&type=SD,,,,2016-04-30
175,772406,CIRRUS LOGIC INC,2665,Nasdaq Global Market,CRUS,3674,Semiconductors and Related Devices,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=772406&start=0&type=SD,,,,2016-04-30
176,858877,"CISCO SYSTEMS, INC.",3894,Nasdaq Global Market,CSCO,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=858877&start=0&type=SD,,,,2016-04-30
177,877890,CITRIX SYSTEMS INC,11184,Nasdaq Global Market,CTXS,7372,Prepackaged Software,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=877890&start=0&type=SD,,,,2016-04-30
178,1420800,COLFAX CORP,766392,NYSE,CFX,3561,Pumps and Pumping Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1420800&start=0&type=SD,,,,2016-04-30
179,851205,COGNEX CORP,5967,Nasdaq Global Market,CGNX,3823,"Industrial Instruments for Measurement, Display, and Control of ",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=851205&start=0&type=SD,,,,2016-04-30
180,21665,COLGATE PALMOLIVE CO,10500,NYSE,CL,2844,"Perfumes, Cosmetics, and Other Toilet Preparations",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=21665&start=0&type=SD,,,,2016-04-30
181,22444,COMMERCIAL METALS CO,7874,NYSE,CMC,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling ",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=22444&start=0&type=SD,,,,2016-04-30
182,1005229,COLUMBUS MCKINNON CORP,7942,Nasdaq Global Market,CMCO,3531,Construction Machinery and Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1005229&start=0&type=SD,,,,2016-04-30
183,21510,COHERENT INC,9583,Nasdaq Global Market,COHR,3826,Laboratory Analytical Instruments,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=21510&start=0&type=SD,,,,2016-04-30
184,21535,COHU INC,744,Nasdaq Global Market,COHU,3825,Instruments for Measuring and Testing of Electricity and Electri,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=21535&start=0&type=SD,,,,2016-04-30
185,1050797,COLUMBIA SPORTSWEAR CO,8195,Nasdaq Global Market,COLM,2300,Apparel & Other Finishd Prods of Fabrics & Similar Matl,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1050797&start=0&type=SD,,,,2016-04-30
186,1049606,COMPX INTERNATIONAL INC,2916,NYSE MKT,CIX,3420,"Cutlery, Handtools, And General Hardware",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1049606&start=0&type=SD,,,,2016-04-30
187,23197,COMTECH TELECOMMUNICATIONS CORP /DE/,5566,Nasdaq Global Market,CMTL,3663,Radio and Television Broadcasting and Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=23197&start=0&type=SD,,,,2016-04-30
188,816956,CONMED CORP,225,Nasdaq Global Market,CNMD,3845,Electromedical and Electrotherapeutic Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=816956&start=0&type=SD,,,,2016-04-30
189,1345126,COMPASS DIVERSIFIED HOLDINGS,693381,NYSE,CODI,2510,Household Furniture,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1345126&start=0&type=SD,,,,2016-04-30
190,711404,COOPER COMPANIES INC,6327,NYSE,COO,3851,Ophthalmic Goods,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=711404&start=0&type=SD,,,,2016-04-30
191,24491,COOPER TIRE & RUBBER CO,3845,NYSE,CTB,3011,Tires and Inner Tubes,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=24491&start=0&type=SD,,,,2016-04-30
192,1290900,"COMMERCIAL VEHICLE GROUP, INC.",636513,Nasdaq Global Market,CVGI,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1290900&start=0&type=SD,,,,2016-04-30
