id,req_company_name,req_cik,req_url,ret_cik,ret_company_name,ret_description,ret_filing_date,ret_sec_accession_number,ret_title,ret_url
20,ABBVIE INC.,1551152,http://www.sec.gov/Archives/edgar/data/1551152/000110465915042242/0001104659-15-042242-index.htm,1551152,AbbVie Inc.,a15-13037_1ex1d01.htm,2015-06-01 09:49:00,0001104659-15-042242,EX-1.01,https://www.sec.gov/Archives/edgar/data/1551152/000110465915042242/a15-13037_1ex1d01.htm
21,ABBVIE INC.,1551152,http://www.sec.gov/Archives/edgar/data/1551152/000110465915042242/0001104659-15-042242-index.htm,1551152,AbbVie Inc.,0001104659-15-042242.txt,2015-06-01 09:49:00,0001104659-15-042242,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1551152/000110465915042242/0001104659-15-042242.txt
22,ABBOTT LABORATORIES,1800,http://www.sec.gov/Archives/edgar/data/1800/000110465914042874/0001104659-14-042874-index.htm,1800,ABBOTT LABORATORIES,a14-13504_1sd.htm,2014-05-30 15:28:25,0001104659-14-042874,SD,https://www.sec.gov/Archives/edgar/data/1800/000110465914042874/a14-13504_1sd.htm
23,ABBOTT LABORATORIES,1800,http://www.sec.gov/Archives/edgar/data/1800/000110465914042874/0001104659-14-042874-index.htm,1800,ABBOTT LABORATORIES,a14-13504_1ex1d02.htm,2014-05-30 15:28:25,0001104659-14-042874,EX-1.02,https://www.sec.gov/Archives/edgar/data/1800/000110465914042874/a14-13504_1ex1d02.htm
24,ABBOTT LABORATORIES,1800,http://www.sec.gov/Archives/edgar/data/1800/000110465914042874/0001104659-14-042874-index.htm,1800,ABBOTT LABORATORIES,0001104659-14-042874.txt,2014-05-30 15:28:25,0001104659-14-042874,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1800/000110465914042874/0001104659-14-042874.txt
25,ABBOTT LABORATORIES,1800,http://www.sec.gov/Archives/edgar/data/1800/000110465915041939/0001104659-15-041939-index.htm,1800,ABBOTT LABORATORIES,a15-12671_1sd.htm,2015-05-29 13:37:52,0001104659-15-041939,SD,https://www.sec.gov/Archives/edgar/data/1800/000110465915041939/a15-12671_1sd.htm
26,ABBOTT LABORATORIES,1800,http://www.sec.gov/Archives/edgar/data/1800/000110465915041939/0001104659-15-041939-index.htm,1800,ABBOTT LABORATORIES,a15-12671_1ex1d01.htm,2015-05-29 13:37:52,0001104659-15-041939,EX-1.01,https://www.sec.gov/Archives/edgar/data/1800/000110465915041939/a15-12671_1ex1d01.htm
27,ABBOTT LABORATORIES,1800,http://www.sec.gov/Archives/edgar/data/1800/000110465915041939/0001104659-15-041939-index.htm,1800,ABBOTT LABORATORIES,0001104659-15-041939.txt,2015-05-29 13:37:52,0001104659-15-041939,Complete submission text file,https://www.sec.gov/Archives/edgar/data/1800/000110465915041939/0001104659-15-041939.txt
28,AAR CORP,1750,http://www.sec.gov/Archives/edgar/data/1750/000110465914043160/0001104659-14-043160-index.htm,1750,AAR CORP,a14-13834_1sd.htm,2014-06-02 11:13:42,0001104659-14-043160,SD,https://www.sec.gov/Archives/edgar/data/1750/000110465914043160/a14-13834_1sd.htm
29,AAR CORP,1750,http://www.sec.gov/Archives/edgar/data/1750/000110465914043160/0001104659-14-043160-index.htm,1750,AAR CORP,a14-13834_1ex1d02.htm,2014-06-02 11:13:42,0001104659-14-043160,EX-1.02,https://www.sec.gov/Archives/edgar/data/1750/000110465914043160/a14-13834_1ex1d02.htm
