cik
2178
2488
2969
3545
3570
4127
4457
4904
4962
4969
4977
5272
5513
6281
6845
6885
6951
6955
7039
7084
7332
7789
8063
8411
8670
8858
8868
8947
9092
9346
9984
10048
10795
11199
11544
12208
12400
12927
13239
14195
14272
14693
14707
14846
14930
15511
15615
16099
16160
16732
16875
17843
18172
18230
18255
18349
18396
18498
18926
19446
19612
19617
20212
20286
20520
20629
20639
21175
21344
21510
21665
22356
23197
24090
24491
24545
24741
25232
25475
25598
26058
26172
26324
26780
27419
27904
27996
28412
28823
28917
29332
29644
29905
100790
29915
29989
30554
30625
30697
31107
31347
31791
31978
32604
33185
33213
33769
34067
34088
34563
34782
34903
36047
37785
37808
37996
38009
38725
38777
39263
39899
39911
40211
40533
40545
40729
40888
40987
42316
42888
43920
45012
45876
45919
45947
46080
46250
46619
47111
47217
47518
48039
48287
48732
49071
49196
49600
49728
49754
49826
50104
50493
50725
50863
51253
51434
51548
51644
52795
52827
54381
54480
54507
55135
55242
55772
55785
56701
56978
57515
57528
58361
58492
59440
59478
59527
59558
60667
61986
62709
62996
63296
63754
63908
64040
64996
65011
65270
65984
66382
66570
66756
67215
67716
67887
68505
68622
68709
70145
70318
70415
70502
70858
70866
71691
71829
72207
72333
72741
72903
72909
72971
73020
73088
73124
73756
73887
74145
74208
74260
74303
75252
75288
75679
76063
76282
76321
76334
76605
77159
77281
77360
77476
77543
77776
77877
78003
78128
78239
78749
78814
78890
79282
79879
80172
80420
80424
80661
81018
81061
81362
82166
82811
83246
84246
84748
85408
85961
86115
1032208
88121
88205
88948
89089
89439
89800
90168
91419
91576
91767
91928
92122
92230
92380
92521
92679
93410
93556
93751
94344
94845
95521
95552
95953
96021
96223
96536
96869
96943
97134
97216
97745
98246
98362
99250
99771
99780
100122
100493
100548
100716
100885
101199
101778
101829
101830
101984
102037
102212
102729
102752
103379
103730
103872
104169
104889
104894
104918
105132
105418
105634
105770
106040
106455
106535
106618
106640
107140
107263
783325
107815
107833
108312
108385
108772
108985
109177
109380
109563
110019
110471
200406
202058
205402
215466
216085
216228
225648
230557
276209
277135
277375
277509
277595
277638
277948
278166
310056
310158
310354
310522
310568
310764
310826
313143
313616
313716
314808
315449
315849
315858
316300
316709
318154
318300
318833
