,link,size,filing_date,year,cik
288,https://www.sec.gov/Archives/edgar/data/1383395/000138339518000020/0001383395-18-000020-index.htm,352 KB,2018-05-23,2018,0001383395
294,https://www.sec.gov/Archives/edgar/data/883902/000088390218000020/0000883902-18-000020-index.htm,331 KB,2018-05-24,2018,0000883902
301,https://www.sec.gov/Archives/edgar/data/784199/000139834418008296/0001398344-18-008296-index.htm,30 KB,2018-05-31,2018,0000784199
307,https://www.sec.gov/Archives/edgar/data/1122976/000119312518179785/0001193125-18-179785-index.htm,43 KB,2018-05-31,2018,0001122976
312,https://www.sec.gov/Archives/edgar/data/757011/000075701118000052/0000757011-18-000052-index.htm,25 KB,2018-05-11,2018,0000757011
315,https://www.sec.gov/Archives/edgar/data/21510/000110465918037214/0001104659-18-037214-index.htm,454 KB,2018-05-31,2018,0000021510
321,https://www.sec.gov/Archives/edgar/data/806172/000117152018000277/0001171520-18-000277-index.htm,23 KB,2018-05-31,2018,0000806172
327,https://www.sec.gov/Archives/edgar/data/1638290/000155837018005058/0001558370-18-005058-index.htm,41 KB,2018-05-31,2018,0001638290
330,https://www.sec.gov/Archives/edgar/data/1474432/000162828018007438/0001628280-18-007438-index.htm,40 KB,2018-05-31,2018,0001474432
332,https://www.sec.gov/Archives/edgar/data/92122/000009212218000037/0000092122-18-000037-index.htm,55 KB,2018-05-31,2018,0000092122
335,https://www.sec.gov/Archives/edgar/data/746838/000074683818000020/0000746838-18-000020-index.htm,463 KB,2018-05-29,2018,0000746838
341,https://www.sec.gov/Archives/edgar/data/829224/000082922418000026/0000829224-18-000026-index.htm,1 MB,2018-05-31,2018,0000829224
347,https://www.sec.gov/Archives/edgar/data/1564408/000156459018014818/0001564590-18-014818-index.htm,139 KB,2018-05-31,2018,0001564408
349,https://www.sec.gov/Archives/edgar/data/1043337/000114420418031746/0001144204-18-031746-index.htm,167 KB,2018-05-30,2018,0001043337
355,https://www.sec.gov/Archives/edgar/data/1142596/000156459018014826/0001564590-18-014826-index.htm,94 KB,2018-05-31,2018,0001142596
365,https://www.sec.gov/Archives/edgar/data/97745/000009774518000021/0000097745-18-000021-index.htm,74 KB,2018-05-30,2018,0000097745
372,https://www.sec.gov/Archives/edgar/data/80420/000008042018000018/0000080420-18-000018-index.htm,395 KB,2018-05-30,2018,0000080420
378,https://www.sec.gov/Archives/edgar/data/61004/000156459018014778/0001564590-18-014778-index.htm,54 KB,2018-05-31,2018,0000061004
384,https://www.sec.gov/Archives/edgar/data/1489096/000148909618000056/0001489096-18-000056-index.htm,38 KB,2018-05-31,2018,0001489096
390,https://www.sec.gov/Archives/edgar/data/814453/000081445318000050/0000814453-18-000050-index.htm,71 KB,2018-05-30,2018,0000814453
396,https://www.sec.gov/Archives/edgar/data/832988/000162828018007237/0001628280-18-007237-index.htm,147 KB,2018-05-25,2018,0000832988
401,https://www.sec.gov/Archives/edgar/data/310568/000031056818000111/0000310568-18-000111-index.htm,54 KB,2018-05-31,2018,0000310568
410,https://www.sec.gov/Archives/edgar/data/1424929/000142492918000026/0001424929-18-000026-index.htm,73 KB,2018-05-24,2018,0001424929
415,https://www.sec.gov/Archives/edgar/data/1616543/000110465918037184/0001104659-18-037184-index.htm,41 KB,2018-05-31,2018,0001616543
417,https://www.sec.gov/Archives/edgar/data/7431/000156459018014384/0001564590-18-014384-index.htm,52 KB,2018-05-25,2018,0000007431
423,https://www.sec.gov/Archives/edgar/data/313616/000119312518169642/0001193125-18-169642-index.htm,39 KB,2018-05-21,2018,0000313616
