,link,size,filing_date,year,cik
1207,https://www.sec.gov/Archives/edgar/data/1304280/000130428018000026/0001304280-18-000026-index.htm,24 KB,2018-05-30,2018,0001304280
1213,https://www.sec.gov/Archives/edgar/data/830616/000114420418030174/0001144204-18-030174-index.htm,55 KB,2018-05-22,2018,0000830616
1218,https://www.sec.gov/Archives/edgar/data/918580/000114420418030038/0001144204-18-030038-index.htm,25 KB,2018-05-21,2018,0000918580
1225,https://www.sec.gov/Archives/edgar/data/277509/000027750918000028/0000277509-18-000028-index.htm,117 KB,2018-05-31,2018,0000277509
1231,https://www.sec.gov/Archives/edgar/data/835011/000162828018007295/0001628280-18-007295-index.htm,36 KB,2018-05-30,2018,0000835011
1237,https://www.sec.gov/Archives/edgar/data/863064/000156459018013166/0001564590-18-013166-index.htm,36 KB,2018-05-11,2018,0000863064
1244,https://www.sec.gov/Archives/edgar/data/29002/000156459018014320/0001564590-18-014320-index.htm,232 KB,2018-05-24,2018,0000029002
1250,https://www.sec.gov/Archives/edgar/data/880266/000088026618000019/0000880266-18-000019-index.htm,305 KB,2018-05-30,2018,0000880266
1259,https://www.sec.gov/Archives/edgar/data/6284/000119312518180470/0001193125-18-180470-index.htm,179 KB,2018-05-31,2018,0000006284
1265,https://www.sec.gov/Archives/edgar/data/1057083/000156459018014588/0001564590-18-014588-index.htm,40 KB,2018-05-30,2018,0001057083
1271,https://www.sec.gov/Archives/edgar/data/1436126/000143612618000032/0001436126-18-000032-index.htm,30 KB,2018-05-25,2018,0001436126
1276,https://www.sec.gov/Archives/edgar/data/319815/000031981518000028/0000319815-18-000028-index.htm,274 KB,2018-05-31,2018,0000319815
1282,https://www.sec.gov/Archives/edgar/data/353020/000035302018000059/0000353020-18-000059-index.htm,60 KB,2018-05-24,2018,0000353020
1288,https://www.sec.gov/Archives/edgar/data/57131/000110465918036748/0001104659-18-036748-index.htm,429 KB,2018-05-30,2018,0000057131
1298,https://www.sec.gov/Archives/edgar/data/354908/000119312518176813/0001193125-18-176813-index.htm,212 KB,2018-05-29,2018,0000354908
1304,https://www.sec.gov/Archives/edgar/data/866706/000114036118025092/0001140361-18-025092-index.htm,958 KB,2018-05-22,2018,0000866706
1310,https://www.sec.gov/Archives/edgar/data/1574815/000157481518000079/0001574815-18-000079-index.htm,35 KB,2018-05-31,2018,0001574815
1312,https://www.sec.gov/Archives/edgar/data/1137411/000113741118000056/0001137411-18-000056-index.htm,85 KB,2018-05-25,2018,0001137411
1318,https://www.sec.gov/Archives/edgar/data/78814/000007881418000012/0000078814-18-000012-index.htm,534 KB,2018-05-31,2018,0000078814
1324,https://www.sec.gov/Archives/edgar/data/808326/000080832618000016/0000808326-18-000016-index.htm,496 KB,2018-05-22,2018,0000808326
1330,https://www.sec.gov/Archives/edgar/data/21076/000120677418001774/0001206774-18-001774-index.htm,24 KB,2018-05-29,2018,0000021076
1336,https://www.sec.gov/Archives/edgar/data/1122904/000112290418000144/0001122904-18-000144-index.htm,484 KB,2018-05-25,2018,0001122904
1342,https://www.sec.gov/Archives/edgar/data/103379/000119312518177053/0001193125-18-177053-index.htm,94 KB,2018-05-30,2018,0000103379
1348,https://www.sec.gov/Archives/edgar/data/1158895/000119312518179490/0001193125-18-179490-index.htm,15 KB,2018-05-31,2018,0001158895
1357,https://www.sec.gov/Archives/edgar/data/837465/000083746518000008/0000837465-18-000008-index.htm,29 KB,2018-05-09,2018,0000837465
1363,https://www.sec.gov/Archives/edgar/data/889971/000165495418005651/0001654954-18-005651-index.htm,42 KB,2018-05-18,2018,0000889971
1369,https://www.sec.gov/Archives/edgar/data/917520/000119312518180378/0001193125-18-180378-index.htm,31 KB,2018-05-31,2018,0000917520
1375,https://www.sec.gov/Archives/edgar/data/850209/000114420418031638/0001144204-18-031638-index.htm,35 KB,2018-05-30,2018,0000850209
1381,https://www.sec.gov/Archives/edgar/data/55785/000005578518000036/0000055785-18-000036-index.htm,619 KB,2018-05-24,2018,0000055785
1387,https://www.sec.gov/Archives/edgar/data/356037/000035603718000026/0000356037-18-000026-index.htm,168 KB,2018-07-27,2018,0000356037
1394,https://www.sec.gov/Archives/edgar/data/1579157/000156459018014811/0001564590-18-014811-index.htm,23 KB,2018-05-31,2018,0001579157
1399,https://www.sec.gov/Archives/edgar/data/2969/000119312518180010/0001193125-18-180010-index.htm,53 KB,2018-05-31,2018,0000002969
1405,https://www.sec.gov/Archives/edgar/data/1366868/000136686818000015/0001366868-18-000015-index.htm,79 KB,2018-04-19,2018,0001366868
1410,https://www.sec.gov/Archives/edgar/data/749037/000119312518176113/0001193125-18-176113-index.htm,63 KB,2018-05-29,2018,0000749037
1416,https://www.sec.gov/Archives/edgar/data/842023/000143774918010740/0001437749-18-010740-index.htm,62 KB,2018-05-25,2018,0000842023
1418,https://www.sec.gov/Archives/edgar/data/1499807/000149980718000037/0001499807-18-000037-index.htm,32 KB,2018-05-31,2018,0001499807
1421,https://www.sec.gov/Archives/edgar/data/351998/000035199818000015/0000351998-18-000015-index.htm,1 MB,2018-05-29,2018,0000351998
1427,https://www.sec.gov/Archives/edgar/data/25445/000162828018007444/0001628280-18-007444-index.htm,42 KB,2018-05-31,2018,0000025445
1432,https://www.sec.gov/Archives/edgar/data/1090633/000117184318004181/0001171843-18-004181-index.htm,27 KB,2018-05-24,2018,0001090633
1439,https://www.sec.gov/Archives/edgar/data/1329394/000119312518180011/0001193125-18-180011-index.htm,30 KB,2018-05-31,2018,0001329394
1445,https://www.sec.gov/Archives/edgar/data/1024478/000119312518179507/0001193125-18-179507-index.htm,191 KB,2018-05-31,2018,0001024478
1451,https://www.sec.gov/Archives/edgar/data/1042642/000155837018005068/0001558370-18-005068-index.htm,745 KB,2018-05-31,2018,0001042642
1453,https://www.sec.gov/Archives/edgar/data/1289850/000162828018007052/0001628280-18-007052-index.htm,40 KB,2018-05-22,2018,0001289850
1459,https://www.sec.gov/Archives/edgar/data/1036044/000119312518180273/0001193125-18-180273-index.htm,30 KB,2018-05-31,2018,0001036044
1462,https://www.sec.gov/Archives/edgar/data/1009759/000110465918037199/0001104659-18-037199-index.htm,56 KB,2018-05-31,2018,0001009759
1468,https://www.sec.gov/Archives/edgar/data/1001115/000119312518170246/0001193125-18-170246-index.htm,16 KB,2018-05-22,2018,0001001115
1474,https://www.sec.gov/Archives/edgar/data/45876/000004587618000109/0000045876-18-000109-index.htm,27 KB,2018-05-31,2018,0000045876
1480,https://www.sec.gov/Archives/edgar/data/1574774/000157477418000042/0001574774-18-000042-index.htm,504 KB,2018-05-31,2018,0001574774
1486,https://www.sec.gov/Archives/edgar/data/1365767/000117891318001567/0001178913-18-001567-index.htm,449 KB,2018-05-10,2018,0001365767
1492,https://www.sec.gov/Archives/edgar/data/785786/000078578618000032/0000785786-18-000032-index.htm,709 KB,2018-05-22,2018,0000785786
1501,https://www.sec.gov/Archives/edgar/data/914156/000117184318004244/0001171843-18-004244-index.htm,66 KB,2018-05-29,2018,0000914156
1510,https://www.sec.gov/Archives/edgar/data/912093/000091209318000041/0000912093-18-000041-index.htm,63 KB,2018-05-31,2018,0000912093
1516,https://www.sec.gov/Archives/edgar/data/1336917/000133691718000024/0001336917-18-000024-index.htm,178 KB,2018-05-31,2018,0001336917
1522,https://www.sec.gov/Archives/edgar/data/1800/000110465918037140/0001104659-18-037140-index.htm,444 KB,2018-05-31,2018,0000001800
1532,https://www.sec.gov/Archives/edgar/data/830524/000155837018004974/0001558370-18-004974-index.htm,155 KB,2018-05-25,2018,0000830524
1538,https://www.sec.gov/Archives/edgar/data/766792/000143774918010702/0001437749-18-010702-index.htm,19 KB,2018-05-25,2018,0000766792
1544,https://www.sec.gov/Archives/edgar/data/887730/000088773018000019/0000887730-18-000019-index.htm,572 KB,2018-05-03,2018,0000887730
1549,https://www.sec.gov/Archives/edgar/data/1502916/000114420418031198/0001144204-18-031198-index.htm,102 KB,2018-05-29,2018,0001502916
1556,https://www.sec.gov/Archives/edgar/data/867773/000086777318000048/0000867773-18-000048-index.htm,505 KB,2018-05-30,2018,0000867773
1562,https://www.sec.gov/Archives/edgar/data/8063/000000806318000012/0000008063-18-000012-index.htm,34 KB,2018-05-24,2018,0000008063
1568,https://www.sec.gov/Archives/edgar/data/880807/000162828018007199/0001628280-18-007199-index.htm,467 KB,2018-05-25,2018,0000880807
1577,https://www.sec.gov/Archives/edgar/data/912603/000091260318000051/0000912603-18-000051-index.htm,30 KB,2018-05-31,2018,0000912603
1590,https://www.sec.gov/Archives/edgar/data/40545/000004054518000039/0000040545-18-000039-index.htm,627 KB,2018-05-30,2018,0000040545
1595,https://www.sec.gov/Archives/edgar/data/828146/000155837018004975/0001558370-18-004975-index.htm,761 KB,2018-05-25,2018,0000828146
1598,https://www.sec.gov/Archives/edgar/data/788329/000114036118026383/0001140361-18-026383-index.htm,478 KB,2018-05-31,2018,0000788329
1604,https://www.sec.gov/Archives/edgar/data/110390/000165495418006100/0001654954-18-006100-index.htm,29 KB,2018-05-31,2018,0000110390
1610,https://www.sec.gov/Archives/edgar/data/216228/000021622818000018/0000216228-18-000018-index.htm,51 KB,2018-05-31,2018,0000216228
1616,https://www.sec.gov/Archives/edgar/data/721683/000119312518172903/0001193125-18-172903-index.htm,20 KB,2018-05-24,2018,0000721683
1622,https://www.sec.gov/Archives/edgar/data/353278/000095010318006802/0000950103-18-006802-index.htm,30 KB,2018-05-31,2018,0000353278
1628,https://www.sec.gov/Archives/edgar/data/893691/000089369118000025/0000893691-18-000025-index.htm,99 KB,2018-05-25,2018,0000893691
1634,https://www.sec.gov/Archives/edgar/data/719274/000143774918021299/0001437749-18-021299-index.htm,33 KB,2018-11-27,2018,0000719274
1643,https://www.sec.gov/Archives/edgar/data/1500435/000150043518000025/0001500435-18-000025-index.htm,81 KB,2018-05-24,2018,0001500435
1646,https://www.sec.gov/Archives/edgar/data/1021604/000121390018007071/0001213900-18-007071-index.htm,42 KB,2018-05-31,2018,0001021604
1652,https://www.sec.gov/Archives/edgar/data/858655/000110465918037171/0001104659-18-037171-index.htm,27 KB,2018-05-31,2018,0000858655
1658,https://www.sec.gov/Archives/edgar/data/75288/000007528818000028/0000075288-18-000028-index.htm,33 KB,2018-05-31,2018,0000075288
1664,https://www.sec.gov/Archives/edgar/data/1096343/000109634318000125/0001096343-18-000125-index.htm,48 KB,2018-05-30,2018,0001096343
1670,https://www.sec.gov/Archives/edgar/data/927355/000155837018004987/0001558370-18-004987-index.htm,121 KB,2018-05-29,2018,0000927355
1676,https://www.sec.gov/Archives/edgar/data/750004/000095015718000579/0000950157-18-000579-index.htm,41 KB,2018-05-31,2018,0000750004
1682,https://www.sec.gov/Archives/edgar/data/59527/000005952718000016/0000059527-18-000016-index.htm,38 KB,2018-05-31,2018,0000059527
1688,https://www.sec.gov/Archives/edgar/data/313716/000031371618000048/0000313716-18-000048-index.htm,90 KB,2018-05-30,2018,0000313716
1697,https://www.sec.gov/Archives/edgar/data/1342874/000134287418000030/0001342874-18-000030-index.htm,43 KB,2018-05-23,2018,0001342874
1705,https://www.sec.gov/Archives/edgar/data/1280263/000119312518178692/0001193125-18-178692-index.htm,115 KB,2018-05-30,2018,0001280263
1711,https://www.sec.gov/Archives/edgar/data/352825/000035282518000020/0000352825-18-000020-index.htm,383 KB,2018-05-25,2018,0000352825
1717,https://www.sec.gov/Archives/edgar/data/835403/000165495418006039/0001654954-18-006039-index.htm,21 KB,2018-05-30,2018,0000835403
1723,https://www.sec.gov/Archives/edgar/data/1463101/000146310118000061/0001463101-18-000061-index.htm,695 KB,2018-05-31,2018,0001463101
1729,https://www.sec.gov/Archives/edgar/data/851205/000085120518000009/0000851205-18-000009-index.htm,72 KB,2018-05-25,2018,0000851205
1735,https://www.sec.gov/Archives/edgar/data/1279695/000119312518180757/0001193125-18-180757-index.htm,17 KB,2018-06-01,2018,0001279695
1741,https://www.sec.gov/Archives/edgar/data/1616318/000161631818000055/0001616318-18-000055-index.htm,215 KB,2018-05-31,2018,0001616318
1745,https://www.sec.gov/Archives/edgar/data/764180/000076418018000046/0000764180-18-000046-index.htm,86 KB,2018-05-22,2018,0000764180
1751,https://www.sec.gov/Archives/edgar/data/913142/000091314218000016/0000913142-18-000016-index.htm,85 KB,2018-05-30,2018,0000913142
1757,https://www.sec.gov/Archives/edgar/data/1417398/000110465918036738/0001104659-18-036738-index.htm,70 KB,2018-05-30,2018,0001417398
1763,https://www.sec.gov/Archives/edgar/data/7623/000143774918010905/0001437749-18-010905-index.htm,32 KB,2018-05-30,2018,0000007623
1771,https://www.sec.gov/Archives/edgar/data/763744/000076374418000180/0000763744-18-000180-index.htm,1 MB,2018-05-29,2018,0000763744
1777,https://www.sec.gov/Archives/edgar/data/1421517/000142151718000104/0001421517-18-000104-index.htm,531 KB,2018-05-25,2018,0001421517
1783,https://www.sec.gov/Archives/edgar/data/1659166/000119312518177715/0001193125-18-177715-index.htm,280 KB,2018-05-30,2018,0001659166
1786,https://www.sec.gov/Archives/edgar/data/918541/000119312518177525/0001193125-18-177525-index.htm,21 KB,2018-05-30,2018,0000918541
1792,https://www.sec.gov/Archives/edgar/data/884940/000119312518180040/0001193125-18-180040-index.htm,52 KB,2018-05-31,2018,0000884940
1798,https://www.sec.gov/Archives/edgar/data/916789/000110465918037069/0001104659-18-037069-index.htm,608 KB,2018-05-31,2018,0000916789
1804,https://www.sec.gov/Archives/edgar/data/49615/000149315218007975/0001493152-18-007975-index.htm,57 KB,2018-05-30,2018,0000049615
1810,https://www.sec.gov/Archives/edgar/data/1573097/000110465918037620/0001104659-18-037620-index.htm,37 KB,2018-06-01,2018,0001573097
1819,https://www.sec.gov/Archives/edgar/data/1655075/000165507518000008/0001655075-18-000008-index.htm,45 KB,2018-05-25,2018,0001655075
1830,https://www.sec.gov/Archives/edgar/data/313143/000031314318000029/0000313143-18-000029-index.htm,447 KB,2018-05-30,2018,0000313143
1836,https://www.sec.gov/Archives/edgar/data/61986/000156459018014685/0001564590-18-014685-index.htm,943 KB,2018-05-30,2018,0000061986
1842,https://www.sec.gov/Archives/edgar/data/1050797/000105079718000029/0001050797-18-000029-index.htm,220 KB,2018-05-18,2018,0001050797
1848,https://www.sec.gov/Archives/edgar/data/789019/000119312518178668/0001193125-18-178668-index.htm,1 MB,2018-05-30,2018,0000789019
1854,https://www.sec.gov/Archives/edgar/data/1111863/000111186318000018/0001111863-18-000018-index.htm,602 KB,2018-05-31,2018,0001111863
1859,https://www.sec.gov/Archives/edgar/data/357020/000119312518174567/0001193125-18-174567-index.htm,34 KB,2018-05-25,2018,0000357020
1865,https://www.sec.gov/Archives/edgar/data/1092796/000119312518178430/0001193125-18-178430-index.htm,251 KB,2018-05-30,2018,0001092796
1875,https://www.sec.gov/Archives/edgar/data/883107/000138713118002458/0001387131-18-002458-index.htm,17 KB,2018-05-31,2018,0000883107
1879,https://www.sec.gov/Archives/edgar/data/51143/000110465918036009/0001104659-18-036009-index.htm,646 KB,2018-05-25,2018,0000051143
1885,https://www.sec.gov/Archives/edgar/data/47518/000004751818000055/0000047518-18-000055-index.htm,405 KB,2018-05-18,2018,0000047518
1890,https://www.sec.gov/Archives/edgar/data/1636023/000117184318004316/0001171843-18-004316-index.htm,32 KB,2018-05-31,2018,0001636023
1894,https://www.sec.gov/Archives/edgar/data/1094285/000109428518000104/0001094285-18-000104-index.htm,518 KB,2018-05-29,2018,0001094285
1900,https://www.sec.gov/Archives/edgar/data/1533998/000114420418031980/0001144204-18-031980-index.htm,23 KB,2018-05-31,2018,0001533998
1905,https://www.sec.gov/Archives/edgar/data/885725/000110465918036732/0001104659-18-036732-index.htm,79 KB,2018-05-30,2018,0000885725
1911,https://www.sec.gov/Archives/edgar/data/1370431/000119312518179366/0001193125-18-179366-index.htm,24 KB,2018-05-31,2018,0001370431
1917,https://www.sec.gov/Archives/edgar/data/935494/000093549418000020/0000935494-18-000020-index.htm,264 KB,2018-05-02,2018,0000935494
1923,https://www.sec.gov/Archives/edgar/data/1172494/000095010318006801/0000950103-18-006801-index.htm,322 KB,2018-05-31,2018,0001172494
1929,https://www.sec.gov/Archives/edgar/data/1120914/000143774918010960/0001437749-18-010960-index.htm,29 KB,2018-05-31,2018,0001120914
1935,https://www.sec.gov/Archives/edgar/data/1627223/000156459018014673/0001564590-18-014673-index.htm,157 KB,2018-05-30,2018,0001627223
1938,https://www.sec.gov/Archives/edgar/data/7536/000173339118000008/0001733391-18-000008-index.htm,404 KB,2018-05-25,2018,0000007536
1944,https://www.sec.gov/Archives/edgar/data/6951/000119312518176872/0001193125-18-176872-index.htm,158 KB,2018-05-29,2018,0000006951
1950,https://www.sec.gov/Archives/edgar/data/108312/000119312518178276/0001193125-18-178276-index.htm,255 KB,2018-05-30,2018,0000108312
1956,https://www.sec.gov/Archives/edgar/data/75362/000119312518180108/0001193125-18-180108-index.htm,136 KB,2018-05-31,2018,0000075362
1965,https://www.sec.gov/Archives/edgar/data/856982/000085698218000025/0000856982-18-000025-index.htm,1 MB,2018-05-31,2018,0000856982
1971,https://www.sec.gov/Archives/edgar/data/1327567/000132756718000009/0001327567-18-000009-index.htm,44 KB,2018-05-25,2018,0001327567
1976,https://www.sec.gov/Archives/edgar/data/1177394/000117739418000030/0001177394-18-000030-index.htm,368 KB,2018-05-31,2018,0001177394
1986,https://www.sec.gov/Archives/edgar/data/1094392/000156459018014222/0001564590-18-014222-index.htm,51 KB,2018-05-23,2018,0001094392
1992,https://www.sec.gov/Archives/edgar/data/1486957/000148695718000033/0001486957-18-000033-index.htm,72 KB,2018-05-31,2018,0001486957
1998,https://www.sec.gov/Archives/edgar/data/91142/000119312518169279/0001193125-18-169279-index.htm,54 KB,2018-05-21,2018,0000091142
2004,https://www.sec.gov/Archives/edgar/data/1467858/000146785818000073/0001467858-18-000073-index.htm,390 KB,2018-05-31,2018,0001467858
2010,https://www.sec.gov/Archives/edgar/data/1282637/000119312518180397/0001193125-18-180397-index.htm,17 KB,2018-05-31,2018,0001282637
2015,https://www.sec.gov/Archives/edgar/data/1110783/000111078318000065/0001110783-18-000065-index.htm,37 KB,2018-05-30,2018,0001110783
2021,https://www.sec.gov/Archives/edgar/data/885590/000095010318007273/0000950103-18-007273-index.htm,46 KB,2018-06-08,2018,0000885590
2027,https://www.sec.gov/Archives/edgar/data/8947/000000894718000097/0000008947-18-000097-index.htm,63 KB,2018-05-31,2018,0000008947
2031,https://www.sec.gov/Archives/edgar/data/937966/000134100418000325/0001341004-18-000325-index.htm,33 KB,2018-05-31,2018,0000937966
2037,https://www.sec.gov/Archives/edgar/data/794172/000089225118000053/0000892251-18-000053-index.htm,46 KB,2018-05-25,2018,0000794172
2043,https://www.sec.gov/Archives/edgar/data/1489393/000119312518175264/0001193125-18-175264-index.htm,37 KB,2018-05-25,2018,0001489393
2052,https://www.sec.gov/Archives/edgar/data/63908/000006390818000035/0000063908-18-000035-index.htm,415 KB,2018-05-30,2018,0000063908
2058,https://www.sec.gov/Archives/edgar/data/1282266/000128226618000030/0001282266-18-000030-index.htm,279 KB,2018-05-29,2018,0001282266
2064,https://www.sec.gov/Archives/edgar/data/788920/000155335018000667/0001553350-18-000667-index.htm,283 KB,2018-05-31,2018,0000788920
2070,https://www.sec.gov/Archives/edgar/data/845982/000095010318006052/0000950103-18-006052-index.htm,236 KB,2018-05-10,2018,0000845982
2076,https://www.sec.gov/Archives/edgar/data/1597313/000156459018014802/0001564590-18-014802-index.htm,80 KB,2018-05-31,2018,0001597313
2079,https://www.sec.gov/Archives/edgar/data/62996/000006299618000037/0000062996-18-000037-index.htm,223 KB,2018-05-29,2018,0000062996
2085,https://www.sec.gov/Archives/edgar/data/723603/000115752318001202/0001157523-18-001202-index.htm,19 KB,2018-05-25,2018,0000723603
2090,https://www.sec.gov/Archives/edgar/data/20212/000002021218000022/0000020212-18-000022-index.htm,195 KB,2018-05-31,2018,0000020212
2094,https://www.sec.gov/Archives/edgar/data/722572/000168316818001545/0001683168-18-001545-index.htm,91 KB,2018-05-29,2018,0000722572
2099,https://www.sec.gov/Archives/edgar/data/1094366/000117891318001766/0001178913-18-001766-index.htm,404 KB,2018-05-29,2018,0001094366
2105,https://www.sec.gov/Archives/edgar/data/712034/000071203418000085/0000712034-18-000085-index.htm,163 KB,2018-05-31,2018,0000712034
2111,https://www.sec.gov/Archives/edgar/data/26058/000002605818000045/0000026058-18-000045-index.htm,101 KB,2018-05-18,2018,0000026058
2118,https://www.sec.gov/Archives/edgar/data/1578845/000119312518180327/0001193125-18-180327-index.htm,49 KB,2018-05-31,2018,0001578845
2121,https://www.sec.gov/Archives/edgar/data/1652535/000156459018014740/0001564590-18-014740-index.htm,61 KB,2018-05-31,2018,0001652535
2124,https://www.sec.gov/Archives/edgar/data/16988/000119312518177494/0001193125-18-177494-index.htm,540 KB,2018-05-30,2018,0000016988
2134,https://www.sec.gov/Archives/edgar/data/46080/000004608018000094/0000046080-18-000094-index.htm,290 KB,2018-05-29,2018,0000046080
2142,https://www.sec.gov/Archives/edgar/data/833640/000083364018000161/0000833640-18-000161-index.htm,549 KB,2018-05-25,2018,0000833640
2148,https://www.sec.gov/Archives/edgar/data/932787/000094787118000460/0000947871-18-000460-index.htm,243 KB,2018-05-25,2018,0000932787
2154,https://www.sec.gov/Archives/edgar/data/1508478/000095010318006572/0000950103-18-006572-index.htm,21 KB,2018-05-29,2018,0001508478
2160,https://www.sec.gov/Archives/edgar/data/1616862/000161686218000040/0001616862-18-000040-index.htm,118 KB,2018-05-24,2018,0001616862
2163,https://www.sec.gov/Archives/edgar/data/1708055/000110465918037172/0001104659-18-037172-index.htm,818 KB,2018-05-31,2018,0001708055
2177,https://www.sec.gov/Archives/edgar/data/1002047/000119312518178417/0001193125-18-178417-index.htm,188 KB,2018-05-30,2018,0001002047
2183,https://www.sec.gov/Archives/edgar/data/98246/000009824618000215/0000098246-18-000215-index.htm,171 KB,2018-05-25,2018,0000098246
2193,https://www.sec.gov/Archives/edgar/data/882835/000088283518000025/0000882835-18-000025-index.htm,478 KB,2018-05-30,2018,0000882835
2199,https://www.sec.gov/Archives/edgar/data/1333170/000133317018000006/0001333170-18-000006-index.htm,257 KB,2018-05-31,2018,0001333170
2205,https://www.sec.gov/Archives/edgar/data/1065837/000119312518179851/0001193125-18-179851-index.htm,13 KB,2018-05-31,2018,0001065837
2211,https://www.sec.gov/Archives/edgar/data/1015650/000119312518179382/0001193125-18-179382-index.htm,19 KB,2018-05-31,2018,0001015650
2217,https://www.sec.gov/Archives/edgar/data/67347/000114036118026351/0001140361-18-026351-index.htm,476 KB,2018-05-31,2018,0000067347
2223,https://www.sec.gov/Archives/edgar/data/897723/000089772318000015/0000897723-18-000015-index.htm,311 KB,2018-05-23,2018,0000897723
2232,https://www.sec.gov/Archives/edgar/data/932695/000156459018014167/0001564590-18-014167-index.htm,79 KB,2018-05-23,2018,0000932695
2238,https://www.sec.gov/Archives/edgar/data/716314/000119312518179469/0001193125-18-179469-index.htm,14 KB,2018-05-31,2018,0000716314
2244,https://www.sec.gov/Archives/edgar/data/722723/000110465918035438/0001104659-18-035438-index.htm,43 KB,2018-05-23,2018,0000722723
2250,https://www.sec.gov/Archives/edgar/data/1013606/000101360618000087/0001013606-18-000087-index.htm,143 KB,2018-05-31,2018,0001013606
2256,https://www.sec.gov/Archives/edgar/data/1107843/000119312518175397/0001193125-18-175397-index.htm,157 KB,2018-05-25,2018,0001107843
2262,https://www.sec.gov/Archives/edgar/data/1571123/000157112318000022/0001571123-18-000022-index.htm,26 KB,2018-05-09,2018,0001571123
2267,https://www.sec.gov/Archives/edgar/data/1294133/000156459018014687/0001564590-18-014687-index.htm,899 KB,2018-05-30,2018,0001294133
2271,https://www.sec.gov/Archives/edgar/data/1681622/000168162218000018/0001681622-18-000018-index.htm,529 KB,2018-05-29,2018,0001681622
2273,https://www.sec.gov/Archives/edgar/data/3197/000156459018014330/0001564590-18-014330-index.htm,69 KB,2018-05-24,2018,0000003197
2279,https://www.sec.gov/Archives/edgar/data/1494891/000161577418004630/0001615774-18-004630-index.htm,16 KB,2018-05-31,2018,0001494891
2281,https://www.sec.gov/Archives/edgar/data/354950/000035495018000040/0000354950-18-000040-index.htm,322 KB,2018-05-25,2018,0000354950
2287,https://www.sec.gov/Archives/edgar/data/63296/000006329618000063/0000063296-18-000063-index.htm,33 KB,2018-05-31,2018,0000063296
2293,https://www.sec.gov/Archives/edgar/data/1259515/000110465918036716/0001104659-18-036716-index.htm,447 KB,2018-05-30,2018,0001259515
2297,https://www.sec.gov/Archives/edgar/data/98362/000119312518179593/0001193125-18-179593-index.htm,29 KB,2018-05-31,2018,0000098362
2303,https://www.sec.gov/Archives/edgar/data/355948/000138713118002454/0001387131-18-002454-index.htm,46 KB,2018-05-31,2018,0000355948
2309,https://www.sec.gov/Archives/edgar/data/33533/000117494718000926/0001174947-18-000926-index.htm,72 KB,2018-05-31,2018,0000033533
2315,https://www.sec.gov/Archives/edgar/data/933974/000155837018005059/0001558370-18-005059-index.htm,373 KB,2018-05-31,2018,0000933974
2321,https://www.sec.gov/Archives/edgar/data/60667/000006066718000089/0000060667-18-000089-index.htm,217 KB,2018-05-31,2018,0000060667
2327,https://www.sec.gov/Archives/edgar/data/796505/000117184318004216/0001171843-18-004216-index.htm,22 KB,2018-05-25,2018,0000796505
2333,https://www.sec.gov/Archives/edgar/data/315449/000155837018004992/0001558370-18-004992-index.htm,115 KB,2018-05-29,2018,0000315449
2339,https://www.sec.gov/Archives/edgar/data/1164863/000116486318000018/0001164863-18-000018-index.htm,112 KB,2018-05-31,2018,0001164863
2345,https://www.sec.gov/Archives/edgar/data/1007587/000110465918036664/0001104659-18-036664-index.htm,2 MB,2018-05-30,2018,0001007587
2351,https://www.sec.gov/Archives/edgar/data/1002517/000100251718000038/0001002517-18-000038-index.htm,51 KB,2018-05-31,2018,0001002517
2360,https://www.sec.gov/Archives/edgar/data/1027664/000162828018007241/0001628280-18-007241-index.htm,366 KB,2018-05-29,2018,0001027664
2372,https://www.sec.gov/Archives/edgar/data/1022671/000110465918035826/0001104659-18-035826-index.htm,25 KB,2018-05-25,2018,0001022671
2381,https://www.sec.gov/Archives/edgar/data/1013871/000101387118000026/0001013871-18-000026-index.htm,107 KB,2018-05-25,2018,0001013871
2387,https://www.sec.gov/Archives/edgar/data/937556/000093755618000083/0000937556-18-000083-index.htm,358 KB,2018-06-01,2018,0000937556
2393,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000019/0001652044-18-000019-index.htm,490 KB,2018-05-30,2018,0001652044
2397,https://www.sec.gov/Archives/edgar/data/95574/000143774918011001/0001437749-18-011001-index.htm,21 KB,2018-05-31,2018,0000095574
2403,https://www.sec.gov/Archives/edgar/data/1649744/000089271218000256/0000892712-18-000256-index.htm,28 KB,2018-05-29,2018,0001649744
2405,https://www.sec.gov/Archives/edgar/data/1002135/000100213518000021/0001002135-18-000021-index.htm,505 KB,2018-05-31,2018,0001002135
2411,https://www.sec.gov/Archives/edgar/data/1318605/000156459018014530/0001564590-18-014530-index.htm,379 KB,2018-05-29,2018,0001318605
2417,https://www.sec.gov/Archives/edgar/data/926282/000119312518180128/0001193125-18-180128-index.htm,53 KB,2018-05-31,2018,0000926282
2423,https://www.sec.gov/Archives/edgar/data/808362/000095010318006838/0000950103-18-006838-index.htm,451 KB,2018-05-31,2018,0000808362
2429,https://www.sec.gov/Archives/edgar/data/1551152/000110465918037220/0001104659-18-037220-index.htm,42 KB,2018-05-31,2018,0001551152
2435,https://www.sec.gov/Archives/edgar/data/1003935/000117891318001811/0001178913-18-001811-index.htm,43 KB,2018-05-31,2018,0001003935
2441,https://www.sec.gov/Archives/edgar/data/1308547/000119312518173607/0001193125-18-173607-index.htm,131 KB,2018-05-24,2018,0001308547
