,link,size,filing_date,year,cik
2,https://www.sec.gov/Archives/edgar/data/1474735/000143774917010176/0001437749-17-010176-index.htm,48 KB,2017-05-26,2017,0001474735
11,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000032/0001415404-17-000032-index.htm,419 KB,2017-05-24,2017,0001415404
17,https://www.sec.gov/Archives/edgar/data/96699/000114420417030389/0001144204-17-030389-index.htm,39 KB,2017-05-31,2017,0000096699
23,https://www.sec.gov/Archives/edgar/data/1077688/000118518517001303/0001185185-17-001303-index.htm,35 KB,2017-05-31,2017,0001077688
27,https://www.sec.gov/Archives/edgar/data/769594/000119312517188269/0001193125-17-188269-index.htm,39 KB,2017-05-31,2017,0000769594
33,https://www.sec.gov/Archives/edgar/data/1046179/000119312517180408/0001193125-17-180408-index.htm,121 KB,2017-05-24,2017,0001046179
39,https://www.sec.gov/Archives/edgar/data/72331/000119312517189286/0001193125-17-189286-index.htm,78 KB,2017-05-31,2017,0000072331
47,https://www.sec.gov/Archives/edgar/data/1100682/000095010317005132/0000950103-17-005132-index.htm,36 KB,2017-05-31,2017,0001100682
55,https://www.sec.gov/Archives/edgar/data/17843/000110465917033985/0001104659-17-033985-index.htm,29 KB,2017-05-19,2017,0000017843
68,https://www.sec.gov/Archives/edgar/data/1021162/000102116217000027/0001021162-17-000027-index.htm,70 KB,2017-05-30,2017,0001021162
72,https://www.sec.gov/Archives/edgar/data/1156388/000119312517185147/0001193125-17-185147-index.htm,19 KB,2017-05-26,2017,0001156388
76,https://www.sec.gov/Archives/edgar/data/1009626/000100962617000057/0001009626-17-000057-index.htm,588 KB,2017-05-30,2017,0001009626
84,https://www.sec.gov/Archives/edgar/data/1287151/000128715117000054/0001287151-17-000054-index.htm,31 KB,2017-05-31,2017,0001287151
90,https://www.sec.gov/Archives/edgar/data/24741/000002474117000031/0000024741-17-000031-index.htm,298 KB,2017-05-30,2017,0000024741
96,https://www.sec.gov/Archives/edgar/data/1637761/000163776117000110/0001637761-17-000110-index.htm,23 KB,2017-05-12,2017,0001637761
99,https://www.sec.gov/Archives/edgar/data/884905/000088490517000046/0000884905-17-000046-index.htm,53 KB,2017-05-30,2017,0000884905
105,https://www.sec.gov/Archives/edgar/data/1001250/000110465917036282/0001104659-17-036282-index.htm,24 KB,2017-05-31,2017,0001001250
110,https://www.sec.gov/Archives/edgar/data/99780/000009978017000083/0000099780-17-000083-index.htm,244 KB,2017-05-31,2017,0000099780
116,https://www.sec.gov/Archives/edgar/data/20629/000002062917000041/0000020629-17-000041-index.htm,22 KB,2017-05-31,2017,0000020629
122,https://www.sec.gov/Archives/edgar/data/10795/000119312517181884/0001193125-17-181884-index.htm,189 KB,2017-05-24,2017,0000010795
128,https://www.sec.gov/Archives/edgar/data/1290109/000119312517188206/0001193125-17-188206-index.htm,129 KB,2017-05-31,2017,0001290109
134,https://www.sec.gov/Archives/edgar/data/1020710/000102071017000005/0001020710-17-000005-index.htm,296 KB,2017-05-26,2017,0001020710
137,https://www.sec.gov/Archives/edgar/data/55529/000119312517165551/0001193125-17-165551-index.htm,19 KB,2017-05-10,2017,0000055529
